url,name,price,rating,reviews,manufacturer,asin
https://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B09H3H3898/ref=sxin_25_trfob_5_B09H3H3898?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09H3H3898&pd_rd_r=0fef2308-356d-4ad8-9520-fd484328ad89&pd_rd_w=mc3vZ&pd_rd_wg=7bVP5&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=T02M2KP51R3F536S5JW3&qid=1675394346&sprefix=ba%2Caps%2C283&sr=1-6-cc7a04fe-cc55-42ad-b883-1b910070c86a,blue tree 10 ltrs (5 Cms)Backpack(Rider01_Yellow),₹298,4.0 out of 5 stars,61 ratings,Vancouver Store,B09H3H3898
https://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Red-Stawberry/dp/B089WFG3BK/ref=sxin_25_trfob_6_B089WFG3BK?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B089WFG3BK&pd_rd_r=0fef2308-356d-4ad8-9520-fd484328ad89&pd_rd_w=mc3vZ&pd_rd_wg=7bVP5&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=T02M2KP51R3F536S5JW3&qid=1675394346&sprefix=ba%2Caps%2C283&sr=1-7-cc7a04fe-cc55-42ad-b883-1b910070c86a,blue tree 15 ltrs (38 Cms) backpack(INVALID DATA_red),₹278,4.0 out of 5 stars,218 ratings,Vancouver Store,B089WFG3BK
https://www.amazon.in/Blue-Tree-Synthetic-Cartton-Minnie/dp/B07CXXYQ5X/ref=sxin_25_trfob_7_B07CXXYQ5X?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07CXXYQ5X&pd_rd_r=0fef2308-356d-4ad8-9520-fd484328ad89&pd_rd_w=mc3vZ&pd_rd_wg=7bVP5&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=T02M2KP51R3F536S5JW3&qid=1675394346&sprefix=ba%2Caps%2C283&sr=1-8-cc7a04fe-cc55-42ad-b883-1b910070c86a,blue tree 10 ltrs (35 Cms) backpack(VS-Items-3_pink),₹299,4.0 out of 5 stars,663 ratings,7 May 2018,Vancouver Store
https://www.amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1675394346&sprefix=ba%2Caps%2C283&sr=8-14,Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),₹565,4.0 out of 5 stars,"6,987 ratings",Martucci,B088B4P6ZW
https://www.amazon.in/Skybags-Polypropylene-Cms-Travel-DFACN1BLU_Blue/dp/B0B6CH21F9/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1675394346&sprefix=ba%2Caps%2C283&sr=8-15,Skybags Polypropylene 46 Cms Travel Bag(DFACN1BLU_Blue),₹658,4.0 out of 5 stars,23 ratings,"VIP Industries Ltd. DGP House, 5th Floor, 88C Old Prabhadevi Road, Mumbai 400025",B0B6CH21F9
https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1675394346&sprefix=ba%2Caps%2C283&sr=8-16,ADISA Light Weight Laptop Backpack 32 Ltrs,₹499,4.0 out of 5 stars,"5,547 ratings",ADISA,B07F3X45WZ
https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1675394346&sprefix=ba%2Caps%2C283&sr=8-17,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9 out of 5 stars,"2,126 ratings",Amazing Bags,B09VCLZ3K4
https://www.amazon.in/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QQZYN/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1675394346&sprefix=ba%2Caps%2C283&sr=8-18,Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,₹510,5.0 out of 5 stars,2 ratings,SHABA BAGS,B0BS6QQZYN
https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1675394346&sprefix=ba%2Caps%2C283&sr=8-19,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹999,3.9 out of 5 stars,710 ratings,AirCase,B07QN4KXWG
https://www.amazon.in/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1675394346&sprefix=ba%2Caps%2C283&sr=8-20,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,₹512,4.1 out of 5 stars,"4,860 ratings",,
